"ID","Entry","Line","Acc","Race","Stock","Geo.class","Elevation.class","Group","Lat","Lon","Elevation","Block","ABS_X","ABS_Y","P_code","P_level","Seed_wt_12k","Mites","Stem","Height","Leaf.Area","Spad","Leaf_FW","Root_FW"
"MZ65001",11,"C_2","","","PT","C","N","C",NA,NA,NA,1,85,695,"P1",1,2.06,0,0.6,8,245.7,31.3,11.13,4.92
"MZ65002",131,"AN_25","MEXI386","CONICO","CIMMYTMA-019359","A","H","A",19.03333333,-100.0333333,1956,1,95,695,"P1",1,4.18,0,0.8,27,355.9,28.6,15.42,13.36
"MZ65003",18,"C_3","","","CML530","C","N","C",NA,NA,NA,1,104,695,"P1",1,3.64,1,0.8,14,271.9,24.7,10.46,10.43
"MZ65004",107,"SA_3.Low","ECUA","","CIMMYTMA-010248","S","L","S.L",-2.761385,-79.747472,2,1,114,695,"P1",1,3.57,0,0.6,14.5,376,18.2,9.48,12.69
"MZ65005",74,"SA_1.Low","BOLI434","","CIMMYTMA-016874","S","L","S.L",-17.898168,-63.308388,516,1,123,695,"P1",1,3.43,0,0.8,16,407.9,21.2,13.58,15.87
"MZ65006",33,"Mex_16.High","CHIH474","CELAYA","CIMMYTMA-021113","M","H","M.H",28.53333333,-106.6333333,2141,1,133,695,"P1",1,4.66,0,1,16,453.6,26.2,15,NA
"MZ65007",62,"Mex_30.High","GUAN4","CELAYA","CIMMYTMA-000554","M","H","M.H",21.01666667,-101.25,2064,1,143,695,"P1",1,9.31,1,0.8,19,413.9,25.9,12.1,18.5
"MZ65008",70,"Mex_8.High","PUEB384","CONICO","CIMMYTMA-007584","M","H","M.H",19.28333333,-98.43333333,2261,1,152,695,"P1",1,5.14,0,0.8,21,465.7,27.9,12.4,16.9
"MZ65009",84,"SA_17.High","ARGE521","","CIMMYTMA-008025","S","H","S.H",-23.2,-65.35,2973,1,162,695,"P1",1,3.13,0,0.5,10,152.8,24.7,5.27,6.88
"MZ65010",50,"Mex_23.Low","VERA272","TUXPEN","CIMMYTMA-025845","M","L","M.L",21.51666667,-98.38333333,42,1,171,695,"P1",1,4.26,0,0.5,13,322.9,17.2,10.1,15.07
"MZ65011",1,"C_1","","","B73","C","N","C",NA,NA,NA,1,181,695,"P1",1,2.17,1,0.5,8,145.5,25.8,4.2,4
