Entry,ID,Code,Acc,Race,Lat,Long,Elevation
1,B73,C_1,,,,,
2,B73,C_1,,,,,
3,B73,C_1,,,,,
4,B73,C_1,,,,,
5,B73,C_1,,,,,
6,B73,C_1,,,,,
7,PT,C_2,,,,,
8,PT,C_2,,,,,
9,PT,C_2,,,,,
10,PT,C_2,,,,,
11,PT,C_2,,,,,
12,PT,C_2,,,,,
13,CML530,C_3,,,,,
14,CML530,C_3,,,,,
15,CML530,C_3,,,,,
16,CML530,C_3,,,,,
17,CML530,C_3,,,,,
18,CML530,C_3,,,,,
19,Mo17,C_4,,,,,
20,Mo17,C_4,,,,,
21,Mo17,C_4,,,,,
22,Mo17,C_4,,,,,
23,Mo17,C_4,,,,,
24,Mo17,C_4,,,,,
25,CIMMYTMA-025027,Mex_10.Low,OAXA520,ZAPCHI,16.478858,-95.001338,28
26,CIMMYTMA-027432,Mex_10.High,CHIS846,,16.75,-92.63,2131
27,CIMMYTMA-019483,Mex_12.High,ZACA134,CONNOR,22.902593,-103.478062,2019
28,CIMMYTMA-023628,Mex_12.Low,SNLP143,CONICO,21.93333333,-100,994
29,CIMMYTMA-001535,Mex_13.High,QUER56,CONNOR,20.7,-99.8,2039
30,CIMMYTMA-007026,Mex_13.Low,NAYA149,TUXPEN,21.2,-105.1666667,8
31,CIMMYTMA-025041,Mex_14.Low,CHIS533,OLOTIL,16.7,-93.71666667,547
32,CIMMYTMA-006081,Mex_14.High,OAXA350,CONICO,17.190837,-97.867153,2338
33,CIMMYTMA-021113,Mex_16.High,CHIH474,CELAYA,28.53333333,-106.6333333,2141
34,CIMMYTMA-007344,Mex_16.Low,SONO169,ONAVEN,29.43544,-110.367266,390
35,CIMMYTMA-013920,Mex_17.High,OAXA69,,17.45,-97.21666667,2083
36,CIMMYTMA-017793,Mex_17.Low,BELI9,,17.08333333,-89.13333333,97
37,CIMMYTMA-021313,Mex_18.High,JALI576,CELAYA,21.01666667,-102.1666667,2055
38,CIMMYTMA-007076,Mex_18.Low,NAYA222,BOFO,21.71666667,-104.8833333,177
39,CIMMYTMA-016642,Mex_19.High,JALI348,CELAYA,21.88333333,-101.5833333,2213
40,CIMMYTMA-023971,Mex_19.Low,NAYA223,BOFO,22.274119,-104.469957,648
41,CIMMYTMA-023713,Mex_2.Low,JALI386,,19.76666667,-104.35,907
42,CIMMYTMA-002276,Mex_2.High,PUEB 32,CONICO,19.83333333,-98.03333333,2325
43,CIMMYTMA-021154,Mex_20.High,CHIH515,CONNOR,28.55,-107.5,2046
44,CIMMYTMA-000449,Mex_20.Low,COAH64,TUXPEN,28.26979,-100.726374,356
45,CIMMYTMA-005266,Mex_21.High,GUAT434,OLOTON,15.28333333,-91.43333333,2071
46,CIMMYTMA-000743,Mex_21.Low,CHIS 26,TEPECI,15.420631,-92.899516,35
47,CIMMYTMA-013771,Mex_22.High,GUAN333,,21.48333333,-101.2166667,2091
48,CIMMYTMA-003266,Mex_22.Low,VERA201,TEPECI,21.1,-97.75,88
49,CIMMYTMA-021332,Mex_23.High,JALI637,CELAYA,20.81666667,-102.6666667,2017
50,CIMMYTMA-025845,Mex_23.Low,VERA272,TUXPEN,21.51666667,-98.38333333,42
51,CIMMYTMA-025151,Mex_24.High,QUER111,,20.175815,-100.139433,2674
52,CIMMYTMA-025289,Mex_24.Low,NAYA312,,20.8,-104.4,800
53,CIMMYTMA-018374,Mex_26.High,MEXI193,,19.97,-99.52,2418
54,CIMMYTMA-002345,Mex_26.Low,VERA118,TUXPEN,19.855393,-96.708139,372
55,CIMMYTMA-007294,Mex_28.Low,SONO115,TABPER,28.975149,-109.395459,454
56,CIMMYTMA-007937,Mex_28.High,CHIH140,GORDO,29.65,-108.25,2141
57,CIMMYTMA-013374,Mex_29.High,DURA33,CONNOR,24.470342,-104.120767,2030
58,CIMMYTMA-000861,Mex_29.Low,SINA2,CHAPAL,24.824405,-107.460246,46
59,CIMMYTMA-002335,Mex_3.Low,VERA77,TUXPEN,20.43027778,-97.382222,109
60,CIMMYTMA-001398,Mex_3.High,MEX 48,CHALQU,19.698838,-99.099857,2247
61,CIMMYTMA-000547,Mex_30.Low,QUER50,TUXPEN,21.445085,-99.632358,562
62,CIMMYTMA-000554,Mex_30.High,GUAN4,CELAYA,21.01666667,-101.25,2064
63,CIMMYTMA-014017,Mex_5.High,SNLP176,,23.13333333,-101.1166667,2043
64,CIMMYTMA-018888,Mex_5.Low,NAYA70,TABLON,22.417143,-105.46224,11
65,CIMMYTMA-016261,Mex_6.Low,GUER127,,17.560971,-101.262247,52
66,CIMMYTMA-020218,Mex_6.High,OAXA724,BOLITA,16.9,-96.26666667,2164
67,CIMMYTMA-026945,Mex_7.High,TLAX525,,19.31666667,-97.91666667,2492
68,CIMMYTMA-000686,Mex_7.Low,VERA126,TUXPEN,18.589859,-95.436809,30
69,CIMMYTMA-023180,Mex_8.Low,COLI26,,19.33205,-103.731987,720
70,CIMMYTMA-007584,Mex_8.High,PUEB384,CONICO,19.28333333,-98.43333333,2261
71,CIMMYTMA-020752,Mex_9.Low,HIDA184,CONICO,21.062344,-98.870068,436
72,CIMMYTMA-027102,Mex_9.High,AGUC67,CONNOR,21.921424,-102.13202,2042
73,CIMMYTMA-015032,SA_1.High,BOZM0881,,-17.55,-65.83333333,2725
74,CIMMYTMA-016874,SA_1.Low,BOLI434,,-17.898168,-63.308388,516
75,CIMMYTMA-014453,SA_10.Low,CHZM01008,HARTAR,-19.010405,-69.865865,700
76,CIMMYTMA-014497,SA_10.High,CHZM01070,HARTAR,-19.314057,-69.419454,2430
77,CIMMYTMA-014998,SA_11.Low,BOZM0708,CUBAAM,-16.777628,-60.657169,300
78,CIMMYTMA-018635,SA_11.High,AREQ.164,,-16.471349,-71.47741,2495
79,CIMMYTMA-008361,SA_13.High,PERU511,,-12.93333333,-74.25,2655
80,CIMMYTMA-008367,SA_13.Low,PERU611,,-12.130747,-76.950627,305
81,CIMMYTMA-014578,SA_14.Low,SNMART111,,-8.444628,-76.471549,580
